# with_IVC: True
# date [%Y-%m-%d %H:%M:%S], fill_height [cm], volume [L], percentage [%]
2022-09-21 23:59:59, 0.0, 12.0, nan
2022-09-22 00:00:05, 0.0, 12.0, nan
2022-09-22 00:00:10, 0.0, 12.0, nan
2022-09-22 00:00:14, 0.0, 12.0, nan
2022-09-22 00:00:20, 0.0, 12.0, nan
2022-09-22 00:00:24, 0.0, 12.0, nan
2022-09-22 00:00:31, 0.0, 12.0, nan
2022-09-22 00:00:35, 0.0, 12.0, nan
2022-09-22 00:00:39, 0.0, 12.0, nan
2022-09-22 00:00:45, 0.0, 12.0, nan
2022-09-22 00:00:49, 0.0, 12.0, nan
2022-09-22 00:00:56, 0.0, 12.0, nan
2022-09-22 00:01:00, 0.0, 12.0, nan
2022-09-22 00:01:04, 0.0, 12.0, nan
2022-09-22 00:01:10, 0.0, 12.0, nan
2022-09-22 00:01:15, 0.0, 12.0, nan
2022-09-22 00:01:21, 0.0, 12.0, nan
2022-09-22 00:01:25, 0.0, 12.0, nan
2022-09-22 00:01:29, 0.0, 12.0, nan
2022-09-22 00:01:35, 0.0, 12.0, nan
2022-09-22 00:01:40, 0.0, 12.0, nan
2022-09-22 00:01:46, 0.0, 12.0, nan
2022-09-22 00:01:50, 0.0, 12.0, nan
2022-09-22 00:01:54, 0.0, 12.0, nan
2022-09-22 00:02:01, 0.0, 12.0, nan
2022-09-22 00:02:05, 0.0, 12.0, nan
2022-09-22 00:02:11, 0.0, 12.0, nan
2022-09-22 00:02:15, 0.0, 12.0, nan
2022-09-22 00:02:20, 0.0, 12.0, nan
2022-09-22 00:02:26, 0.0, 12.0, nan
2022-09-22 00:02:30, 0.0, 12.0, nan
2022-09-22 00:02:36, 0.0, 12.0, nan
2022-09-22 00:02:41, 0.0, 12.0, nan
2022-09-22 00:02:45, 0.0, 12.0, nan
2022-09-22 00:02:51, 0.0, 12.0, nan
2022-09-22 00:02:55, 0.0, 12.0, nan
2022-09-22 00:02:59, 0.0, 12.0, nan
2022-09-22 00:03:06, 0.0, 12.0, nan
2022-09-22 00:03:10, 0.0, 12.0, nan
2022-09-22 00:03:16, 0.0, 12.0, nan
2022-09-22 00:03:20, 0.0, 12.0, nan
2022-09-22 00:03:25, 0.0, 12.0, nan
2022-09-22 00:03:31, 0.0, 12.0, nan
2022-09-22 00:03:35, 0.0, 12.0, nan
2022-09-22 00:03:41, 0.0, 12.0, nan
2022-09-22 00:03:45, 0.0, 12.0, nan
2022-09-22 00:03:50, 0.0, 12.0, nan
2022-09-22 00:03:56, 0.0, 12.0, nan
2022-09-22 00:04:00, 0.0, 12.0, nan
2022-09-22 00:04:06, 0.0, 12.0, nan
2022-09-22 00:04:11, 0.0, 12.0, nan
2022-09-22 00:04:15, 0.0, 12.0, nan
2022-09-22 00:04:21, 0.0, 12.0, nan
2022-09-22 00:04:25, 0.0, 12.0, nan
2022-09-22 00:04:32, 0.0, 12.0, nan
2022-09-22 00:04:36, 0.0, 12.0, nan
2022-09-22 00:04:40, 0.0, 12.0, nan
2022-09-22 00:04:46, 0.0, 12.0, nan
2022-09-22 00:04:50, 0.0, 12.0, nan
2022-09-22 00:04:57, 0.0, 12.0, nan
2022-09-22 00:05:01, 0.0, 12.0, nan
2022-09-22 00:05:05, 0.0, 12.0, nan
2022-09-22 00:05:11, 0.0, 12.0, nan
2022-09-22 00:05:16, 0.0, 12.0, nan
2022-09-22 00:05:22, 0.0, 12.0, nan
2022-09-22 00:05:26, 0.0, 12.0, nan
2022-09-22 00:05:30, 0.0, 12.0, nan
2022-09-22 00:05:37, 0.0, 12.0, nan
2022-09-22 00:05:41, 0.0, 12.0, nan
2022-09-22 00:05:47, 0.0, 12.0, nan
2022-09-22 00:05:51, 0.0, 12.0, nan
2022-09-22 00:05:55, 0.0, 12.0, nan
2022-09-22 00:06:02, 0.0, 12.0, nan
2022-09-22 00:06:06, 0.0, 12.0, nan
2022-09-22 00:06:12, 0.0, 12.0, nan
2022-09-22 00:06:16, 0.0, 12.0, nan
2022-09-22 00:06:21, 0.0, 12.0, nan
2022-09-22 00:06:27, 0.0, 12.0, nan
2022-09-22 00:06:31, 0.0, 12.0, nan
2022-09-22 00:06:35, 0.0, 12.0, nan
2022-09-22 00:06:42, 0.0, 12.0, nan
2022-09-22 00:06:46, 0.0, 12.0, nan
2022-09-22 00:06:52, 0.0, 12.0, nan
2022-09-22 00:06:56, 0.0, 12.0, nan
2022-09-22 00:07:00, 0.0, 12.0, nan
2022-09-22 00:07:07, 0.0, 12.0, nan
2022-09-22 00:07:11, 0.0, 12.0, nan
2022-09-22 00:07:17, 0.0, 12.0, nan
2022-09-22 00:07:21, 0.0, 12.0, nan
2022-09-22 00:07:26, 0.0, 12.0, nan
2022-09-22 00:07:32, 0.0, 12.0, nan
2022-09-22 00:07:36, 0.0, 12.0, nan
2022-09-22 00:07:42, 0.0, 12.0, nan
2022-09-22 00:07:47, 0.0, 12.0, nan
2022-09-22 00:07:51, 0.0, 12.0, nan
2022-09-22 00:07:57, 0.0, 12.0, nan
2022-09-22 00:08:01, 0.0, 12.0, nan
2022-09-22 00:08:08, 0.0, 12.0, nan
2022-09-22 00:08:12, 0.0, 12.0, nan
2022-09-22 00:08:16, 0.0, 12.0, nan
2022-09-22 00:08:22, 0.0, 12.0, nan
2022-09-22 00:08:26, 0.0, 12.0, nan
2022-09-22 00:08:33, 0.0, 12.0, nan
2022-09-22 00:08:37, 0.0, 12.0, nan
2022-09-22 00:08:41, 0.0, 12.0, nan
2022-09-22 00:08:47, 0.0, 12.0, nan
2022-09-22 00:08:51, 0.0, 12.0, nan
2022-09-22 00:08:58, 0.0, 12.0, nan
2022-09-22 00:09:02, 0.0, 12.0, nan
2022-09-22 00:09:06, 0.0, 12.0, nan
2022-09-22 00:09:12, 0.0, 12.0, nan
2022-09-22 00:09:17, 0.0, 12.0, nan
2022-09-22 00:09:23, 0.0, 12.0, nan
2022-09-22 00:09:27, 0.0, 12.0, nan
2022-09-22 00:09:31, 0.0, 12.0, nan
2022-09-22 00:09:38, 0.0, 12.0, nan
2022-09-22 00:09:42, 0.0, 12.0, nan
2022-09-22 00:09:48, 0.0, 12.0, nan
2022-09-22 00:09:52, 0.0, 12.0, nan
2022-09-22 00:09:57, 0.0, 12.0, nan
2022-09-22 00:10:03, 0.0, 12.0, nan
2022-09-22 00:10:07, 0.0, 12.0, nan
2022-09-22 00:10:11, 0.0, 12.0, nan
2022-09-22 00:10:17, 0.0, 12.0, nan
2022-09-22 00:10:22, 0.0, 12.0, nan
2022-09-22 00:10:28, 0.0, 12.0, nan
2022-09-22 00:10:32, 0.0, 12.0, nan
2022-09-22 00:10:36, 0.0, 12.0, nan
2022-09-22 00:10:43, 0.0, 12.0, nan
2022-09-22 00:10:47, 0.0, 12.0, nan
2022-09-22 00:10:53, 0.0, 12.0, nan
2022-09-22 00:10:57, 0.0, 12.0, nan
2022-09-22 00:11:01, 0.0, 12.0, nan
2022-09-22 00:11:08, 0.0, 12.0, nan
2022-09-22 00:11:12, 0.0, 12.0, nan
2022-09-22 00:11:18, 0.0, 12.0, nan
2022-09-22 00:11:22, 0.0, 12.0, nan
2022-09-22 00:11:27, 0.0, 12.0, nan
2022-09-22 00:11:33, 0.0, 12.0, nan
2022-09-22 00:11:37, 0.0, 12.0, nan
2022-09-22 00:11:43, 0.0, 12.0, nan
2022-09-22 00:11:48, 0.0, 12.0, nan
2022-09-22 00:11:52, 0.0, 12.0, nan
2022-09-22 00:11:58, 0.0, 12.0, nan
2022-09-22 00:12:02, 0.0, 12.0, nan
2022-09-22 00:12:09, 0.0, 12.0, nan
2022-09-22 00:12:13, 0.0, 12.0, nan
2022-09-22 00:12:17, 0.0, 12.0, nan
2022-09-22 00:12:23, 0.0, 12.0, nan
2022-09-22 00:12:27, 0.0, 12.0, nan
2022-09-22 00:12:34, 0.0, 12.0, nan
2022-09-22 00:12:38, 0.0, 12.0, nan
2022-09-22 00:12:42, 0.0, 12.0, nan
2022-09-22 00:12:48, 0.0, 12.0, nan
2022-09-22 00:12:53, 0.0, 12.0, nan
2022-09-22 00:12:59, 0.0, 12.0, nan
2022-09-22 00:13:03, 0.0, 12.0, nan
2022-09-22 00:13:07, 0.0, 12.0, nan
2022-09-22 00:13:14, 0.0, 12.0, nan
2022-09-22 00:13:18, 0.0, 12.0, nan
2022-09-22 00:13:24, 0.0, 12.0, nan
2022-09-22 00:13:28, 0.0, 12.0, nan
2022-09-22 00:13:32, 0.0, 12.0, nan
2022-09-22 00:13:39, 0.0, 12.0, nan
2022-09-22 00:13:43, 0.0, 12.0, nan
2022-09-22 00:13:49, 0.0, 12.0, nan
2022-09-22 00:13:53, 0.0, 12.0, nan
2022-09-22 00:13:57, 0.0, 12.0, nan
2022-09-22 00:14:04, 0.0, 12.0, nan
2022-09-22 00:14:08, 0.0, 12.0, nan
2022-09-22 00:14:14, 0.0, 12.0, nan
2022-09-22 00:14:18, 0.0, 12.0, nan
2022-09-22 00:14:23, 0.0, 12.0, nan
2022-09-22 00:14:29, 0.0, 12.0, nan
2022-09-22 00:14:33, 0.0, 12.0, nan
2022-09-22 00:14:37, 0.0, 12.0, nan
2022-09-22 00:14:44, 0.0, 12.0, nan
2022-09-22 00:14:48, 0.0, 12.0, nan
2022-09-22 00:14:54, 0.0, 12.0, nan
2022-09-22 00:14:58, 0.0, 12.0, nan
2022-09-22 00:15:02, 0.0, 12.0, nan
2022-09-22 00:15:09, 0.0, 12.0, nan
2022-09-22 00:15:13, 0.0, 12.0, nan
2022-09-22 00:15:19, 0.0, 12.0, nan
2022-09-22 00:15:23, 0.0, 12.0, nan
2022-09-22 00:15:28, 0.0, 12.0, nan
2022-09-22 00:15:34, 0.0, 12.0, nan
2022-09-22 00:15:38, 0.0, 12.0, nan
2022-09-22 00:15:44, 0.0, 12.0, nan
2022-09-22 00:15:49, 0.0, 12.0, nan
2022-09-22 00:15:53, 0.0, 12.0, nan
2022-09-22 00:15:59, 0.0, 12.0, nan
2022-09-22 00:16:03, 0.0, 12.0, nan
2022-09-22 00:16:10, 0.0, 12.0, nan
2022-09-22 00:16:14, 0.0, 12.0, nan
2022-09-22 00:16:18, 0.0, 12.0, nan
2022-09-22 00:16:24, 0.0, 12.0, nan
2022-09-22 00:16:29, 0.0, 12.0, nan
2022-09-22 00:16:35, 0.0, 12.0, nan
2022-09-22 00:16:39, 0.0, 12.0, nan
2022-09-22 00:16:43, 0.0, 12.0, nan
2022-09-22 00:16:49, 0.0, 12.0, nan
2022-09-22 00:16:54, 0.0, 12.0, nan
2022-09-22 00:17:00, 0.0, 12.0, nan
2022-09-22 00:17:04, 0.0, 12.0, nan
2022-09-22 00:17:08, 0.0, 12.0, nan
2022-09-22 00:17:15, 0.0, 12.0, nan
2022-09-22 00:17:19, 0.0, 12.0, nan
2022-09-22 00:17:23, 0.0, 12.0, nan
2022-09-22 00:17:29, 0.0, 12.0, nan
2022-09-22 00:17:33, 0.0, 12.0, nan
2022-09-22 00:17:40, 0.0, 12.0, nan
2022-09-22 00:17:44, 0.0, 12.0, nan
2022-09-22 00:17:48, 0.0, 12.0, nan
2022-09-22 00:17:54, 0.0, 12.0, nan
2022-09-22 00:17:59, 0.0, 12.0, nan
2022-09-22 00:18:05, 0.0, 12.0, nan
2022-09-22 00:18:09, 0.0, 12.0, nan
2022-09-22 00:18:13, 0.0, 12.0, nan
2022-09-22 00:18:20, 0.0, 12.0, nan
2022-09-22 00:18:24, 0.0, 12.0, nan
2022-09-22 00:18:30, 0.0, 12.0, nan
2022-09-22 00:18:34, 0.0, 12.0, nan
2022-09-22 00:18:38, 0.0, 12.0, nan
2022-09-22 00:18:45, 0.0, 12.0, nan
2022-09-22 00:18:49, 0.0, 12.0, nan
2022-09-22 00:18:55, 0.0, 12.0, nan
2022-09-22 00:18:59, 0.0, 12.0, nan
2022-09-22 00:19:04, 0.0, 12.0, nan
2022-09-22 00:19:10, 0.0, 12.0, nan
2022-09-22 00:19:14, 0.0, 12.0, nan
2022-09-22 00:19:20, 0.0, 12.0, nan
2022-09-22 00:19:25, 0.0, 12.0, nan
2022-09-22 00:19:29, 0.0, 12.0, nan
2022-09-22 00:19:35, 0.0, 12.0, nan
2022-09-22 00:19:39, 0.0, 12.0, nan
2022-09-22 00:19:45, 0.0, 12.0, nan
