# with_IVC: True
# date [%Y-%m-%d %H:%M:%S], fill_height [cm], volume [L], percentage [%]
2022-05-08 00:00:02, 0.0, 12.0, nan
2022-05-08 00:00:08, 0.0, 12.0, nan
2022-05-08 00:00:12, 0.0, 12.0, nan
2022-05-08 00:00:18, 0.0, 12.0, nan
2022-05-08 00:00:22, 0.0, 12.0, nan
2022-05-08 00:00:29, 0.0, 12.0, nan
2022-05-08 00:00:33, 0.0, 12.0, nan
2022-05-08 00:00:37, 0.0, 12.0, nan
2022-05-08 00:00:43, 0.0, 12.0, nan
2022-05-08 00:00:47, 0.0, 12.0, nan
2022-05-08 00:00:53, 0.0, 12.0, nan
2022-05-08 00:00:57, 0.0, 12.0, nan
2022-05-08 00:01:03, 0.0, 12.0, nan
2022-05-08 00:01:07, 0.0, 12.0, nan
2022-05-08 00:01:14, 0.0, 12.0, nan
2022-05-08 00:01:18, 0.0, 12.0, nan
2022-05-08 00:01:22, 0.0, 12.0, nan
2022-05-08 00:01:28, 0.0, 12.0, nan
2022-05-08 00:01:32, 0.0, 12.0, nan
2022-05-08 00:01:38, 0.0, 12.0, nan
2022-05-08 00:01:43, 0.0, 12.0, nan
2022-05-08 00:01:49, 0.0, 12.0, nan
2022-05-08 00:01:53, 0.0, 12.0, nan
2022-05-08 00:01:57, 0.0, 12.0, nan
2022-05-08 00:02:03, 0.0, 12.0, nan
2022-05-08 00:02:07, 0.0, 12.0, nan
2022-05-08 00:02:14, 0.0, 12.0, nan
2022-05-08 00:02:18, 0.0, 12.0, nan
2022-05-08 00:02:24, 0.0, 12.0, nan
2022-05-08 00:02:28, 0.0, 12.0, nan
2022-05-08 00:02:32, 0.0, 12.0, nan
2022-05-08 00:02:38, 0.0, 12.0, nan
2022-05-08 00:02:42, 0.0, 12.0, nan
2022-05-08 00:02:48, 0.0, 12.0, nan
2022-05-08 00:02:52, 0.0, 12.0, nan
2022-05-08 00:02:59, 0.0, 12.0, nan
2022-05-08 00:03:03, 0.0, 12.0, nan
2022-05-08 00:03:09, 0.0, 12.0, nan
2022-05-08 00:03:13, 0.0, 12.0, nan
2022-05-08 00:03:17, 0.0, 12.0, nan
2022-05-08 00:03:23, 0.0, 12.0, nan
2022-05-08 00:03:27, 0.0, 12.0, nan
2022-05-08 00:03:34, 0.0, 12.0, nan
2022-05-08 00:03:38, 0.0, 12.0, nan
2022-05-08 00:03:44, 0.0, 12.0, nan
2022-05-08 00:03:48, 0.0, 12.0, nan
2022-05-08 00:03:54, 0.0, 12.0, nan
2022-05-08 00:03:58, 0.0, 12.0, nan
2022-05-08 00:04:02, 0.0, 12.0, nan
2022-05-08 00:04:08, 0.0, 12.0, nan
2022-05-08 00:04:13, 0.0, 12.0, nan
2022-05-08 00:04:19, 0.0, 12.0, nan
2022-05-08 00:04:23, 0.0, 12.0, nan
2022-05-08 00:04:29, 0.0, 12.0, nan
2022-05-08 00:04:33, 0.0, 12.0, nan
2022-05-08 00:04:39, 0.0, 12.0, nan
2022-05-08 00:04:43, 0.0, 12.0, nan
2022-05-08 00:04:48, 0.0, 12.0, nan
2022-05-08 00:04:54, 0.0, 12.0, nan
2022-05-08 00:04:58, 0.0, 12.0, nan
2022-05-08 00:05:04, 0.0, 12.0, nan
2022-05-08 00:05:08, 0.0, 12.0, nan
2022-05-08 00:05:14, 0.0, 12.0, nan
2022-05-08 00:05:18, 0.0, 12.0, nan
2022-05-08 00:05:22, 0.0, 12.0, nan
