# with_IVC: True
# date [%Y-%m-%d %H:%M:%S], fill_height [cm], volume [L], percentage [%]
2022-05-06 23:59:59, 0.0, 12.0, nan
2022-05-07 00:00:05, 0.0, 12.0, nan
2022-05-07 00:00:09, 0.0, 12.0, nan
2022-05-07 00:00:13, 0.0, 12.0, nan
2022-05-07 00:00:19, 0.0, 12.0, nan
2022-05-07 00:00:23, 0.0, 12.0, nan
2022-05-07 00:00:30, 0.0, 12.0, nan
2022-05-07 00:00:34, 0.0, 12.0, nan
2022-05-07 00:00:40, 0.0, 12.0, nan
2022-05-07 00:00:44, 0.0, 12.0, nan
2022-05-07 00:00:50, 0.0, 12.0, nan
2022-05-07 00:00:54, 0.0, 12.0, nan
2022-05-07 00:00:58, 0.0, 12.0, nan
2022-05-07 00:01:04, 0.0, 12.0, nan
2022-05-07 00:01:08, 0.0, 12.0, nan
2022-05-07 00:01:15, 0.0, 12.0, nan
2022-05-07 00:01:19, 0.0, 12.0, nan
2022-05-07 00:01:25, 0.0, 12.0, nan
2022-05-07 00:01:29, 0.0, 12.0, nan
2022-05-07 00:01:33, 0.0, 12.0, nan
2022-05-07 00:01:39, 0.0, 12.0, nan
2022-05-07 00:01:44, 0.0, 12.0, nan
2022-05-07 00:01:50, 0.0, 12.0, nan
2022-05-07 00:01:54, 0.0, 12.0, nan
2022-05-07 00:02:00, 0.0, 12.0, nan
2022-05-07 00:02:04, 0.0, 12.0, nan
2022-05-07 00:02:10, 0.0, 12.0, nan
2022-05-07 00:02:14, 0.0, 12.0, nan
2022-05-07 00:02:18, 0.0, 12.0, nan
2022-05-07 00:02:25, 0.0, 12.0, nan
2022-05-07 00:02:29, 0.0, 12.0, nan
2022-05-07 00:02:35, 0.0, 12.0, nan
2022-05-07 00:02:39, 0.0, 12.0, nan
2022-05-07 00:02:45, 0.0, 12.0, nan
2022-05-07 00:02:49, 0.0, 12.0, nan
2022-05-07 00:02:55, 0.0, 12.0, nan
2022-05-07 00:02:59, 0.0, 12.0, nan
2022-05-07 00:03:03, 0.0, 12.0, nan
2022-05-07 00:03:10, 0.0, 12.0, nan
2022-05-07 00:03:14, 0.0, 12.0, nan
2022-05-07 00:03:20, 0.0, 12.0, nan
2022-05-07 00:03:24, 0.0, 12.0, nan
2022-05-07 00:03:30, 0.0, 12.0, nan
2022-05-07 00:03:34, 0.0, 12.0, nan
2022-05-07 00:03:38, 0.0, 12.0, nan
2022-05-07 00:03:45, 0.0, 12.0, nan
2022-05-07 00:03:49, 0.0, 12.0, nan
2022-05-07 00:03:55, 0.0, 12.0, nan
2022-05-07 00:03:59, 0.0, 12.0, nan
2022-05-07 00:04:05, 0.0, 12.0, nan
2022-05-07 00:04:09, 0.0, 12.0, nan
2022-05-07 00:04:15, 0.0, 12.0, nan
2022-05-07 00:04:19, 0.0, 12.0, nan
2022-05-07 00:04:24, 0.0, 12.0, nan
2022-05-07 00:04:30, 0.0, 12.0, nan
2022-05-07 00:04:34, 0.0, 12.0, nan
2022-05-07 00:04:40, 0.0, 12.0, nan
2022-05-07 00:04:44, 0.0, 12.0, nan
2022-05-07 00:04:50, 0.0, 12.0, nan
2022-05-07 00:04:54, 0.0, 12.0, nan
2022-05-07 00:05:01, 0.0, 12.0, nan
2022-05-07 00:05:05, 0.0, 12.0, nan
2022-05-07 00:05:09, 0.0, 12.0, nan
2022-05-07 00:05:15, 0.0, 12.0, nan
2022-05-07 00:05:19, 0.0, 12.0, nan
2022-05-07 00:05:25, 0.0, 12.0, nan
2022-05-07 00:05:29, 0.0, 12.0, nan
2022-05-07 00:05:36, 0.0, 12.0, nan
2022-05-07 00:05:40, 0.0, 12.0, nan
2022-05-07 00:05:44, 0.0, 12.0, nan
2022-05-07 00:05:50, 0.0, 12.0, nan
2022-05-07 00:05:54, 0.0, 12.0, nan
2022-05-07 00:06:00, 0.0, 12.0, nan
2022-05-07 00:06:05, 0.0, 12.0, nan
2022-05-07 00:06:11, 0.0, 12.0, nan
2022-05-07 00:06:15, 0.0, 12.0, nan
2022-05-07 00:06:19, 0.0, 12.0, nan
2022-05-07 00:06:25, 0.0, 12.0, nan
2022-05-07 00:06:29, 0.0, 12.0, nan
2022-05-07 00:06:36, 0.0, 12.0, nan
2022-05-07 00:06:40, 0.0, 12.0, nan
2022-05-07 00:06:46, 0.0, 12.0, nan
2022-05-07 00:06:50, 0.0, 12.0, nan
2022-05-07 00:06:54, 0.0, 12.0, nan
2022-05-07 00:07:00, 0.0, 12.0, nan
2022-05-07 00:07:04, 0.0, 12.0, nan
2022-05-07 00:07:10, 0.0, 12.0, nan
2022-05-07 00:07:14, 0.0, 12.0, nan
2022-05-07 00:07:21, 0.0, 12.0, nan
2022-05-07 00:07:25, 0.0, 12.0, nan
2022-05-07 00:07:31, 0.0, 12.0, nan
2022-05-07 00:07:35, 0.0, 12.0, nan
2022-05-07 00:07:39, 0.0, 12.0, nan
2022-05-07 00:07:45, 0.0, 12.0, nan
2022-05-07 00:07:50, 0.0, 12.0, nan
2022-05-07 00:07:56, 0.0, 12.0, nan
2022-05-07 00:08:00, 0.0, 12.0, nan
2022-05-07 00:08:06, 0.0, 12.0, nan
2022-05-07 00:08:10, 0.0, 12.0, nan
2022-05-07 00:08:14, 0.0, 12.0, nan
2022-05-07 00:08:20, 0.0, 12.0, nan
2022-05-07 00:08:24, 0.0, 12.0, nan
2022-05-07 00:08:31, 0.0, 12.0, nan
2022-05-07 00:08:35, 0.0, 12.0, nan
2022-05-07 00:08:41, 0.0, 12.0, nan
2022-05-07 00:08:45, 0.0, 12.0, nan
2022-05-07 00:08:49, 0.0, 12.0, nan
2022-05-07 00:08:55, 0.0, 12.0, nan
2022-05-07 00:09:00, 0.0, 12.0, nan
2022-05-07 00:09:06, 0.0, 12.0, nan
2022-05-07 00:09:10, 0.0, 12.0, nan
2022-05-07 00:09:16, 0.0, 12.0, nan
2022-05-07 00:09:20, 0.0, 12.0, nan
2022-05-07 00:09:26, 0.0, 12.0, nan
2022-05-07 00:09:30, 0.0, 12.0, nan
2022-05-07 00:09:35, 0.0, 12.0, nan
2022-05-07 00:09:41, 0.0, 12.0, nan
2022-05-07 00:09:45, 0.0, 12.0, nan
2022-05-07 00:09:51, 0.0, 12.0, nan
2022-05-07 00:09:55, 0.0, 12.0, nan
2022-05-07 00:10:01, 0.0, 12.0, nan
2022-05-07 00:10:05, 0.0, 12.0, nan
2022-05-07 00:10:11, 0.0, 12.0, nan
2022-05-07 00:10:16, 0.0, 12.0, nan
2022-05-07 00:10:20, 0.0, 12.0, nan
2022-05-07 00:10:26, 0.0, 12.0, nan
2022-05-07 00:10:30, 0.0, 12.0, nan
2022-05-07 00:10:36, 0.0, 12.0, nan
2022-05-07 00:10:40, 0.0, 12.0, nan
2022-05-07 00:10:46, 0.0, 12.0, nan
2022-05-07 00:10:51, 0.0, 12.0, nan
2022-05-07 00:10:55, 0.0, 12.0, nan
2022-05-07 00:11:01, 0.0, 12.0, nan
2022-05-07 00:11:05, 0.0, 12.0, nan
2022-05-07 00:11:11, 0.0, 12.0, nan
2022-05-07 00:11:15, 0.0, 12.0, nan
2022-05-07 00:11:21, 0.0, 12.0, nan
2022-05-07 00:11:25, 0.0, 12.0, nan
2022-05-07 00:11:32, 0.0, 12.0, nan
2022-05-07 00:11:36, 0.0, 12.0, nan
2022-05-07 00:11:40, 0.0, 12.0, nan
2022-05-07 00:11:46, 0.0, 12.0, nan
2022-05-07 00:11:50, 0.0, 12.0, nan
