# date [%Y-%m-%d %H:%M:%S], fill_height [cm], volume [L], percentage [%]
2022-04-15 08:31:02, 109.59255740334324, 70.81129386481888, 89.63454919597326
2022-04-15 08:31:06, 109.26211156222416, 70.55878336358639, 89.31491565010936
2022-04-15 08:31:12, 4.108083905212515, 13.587214236104835, 17.19900536215802
2022-04-15 08:31:16, 3.304515448300329, 13.276744605025128, 16.806005829145732
2022-04-15 08:31:22, 3.64647112258386, 13.40886384281649, 16.973245370653785
2022-04-15 08:31:26, 3.936981222321685, 13.52110638135156, 17.115324533356404
2022-04-15 08:31:32, 3.4456904610286734, 13.331289496306534, 16.875049995324726
2022-04-15 08:31:36, 3.600875874031962, 13.391247496785077, 16.950946198462123
2022-04-15 08:31:42, 3.9395154418430205, 13.522085511621167, 17.11656393876097
2022-04-15 08:31:46, 3.2965593805264124, 13.27367066974884, 16.802114771833978
2022-04-15 08:31:52, 3.373455791373046, 13.30338064666686, 16.83972233755299
2022-04-15 08:31:56, 3.240084829424531, 13.251850956823114, 16.774494882054576
2022-04-15 08:32:02, 3.8510116769776435, 13.487890875195907, 17.073279588855577
2022-04-15 08:32:06, 3.347009481060164, 13.293162754045973, 16.826788296260727
2022-04-15 08:32:12, 3.618612901817288, 13.398100439338497, 16.959620809289238
2022-04-15 08:32:16, 4.06664366084873, 13.571203232600645, 17.178738269114742
2022-04-15 08:32:22, 3.5495987498869104, 13.371435880638124, 16.925868203339398
2022-04-15 08:32:26, 3.4465737210849188, 13.331630755873718, 16.875481969460402
2022-04-15 08:32:32, 3.705752115234982, 13.431767862704424, 17.002237800891677
2022-04-15 08:32:36, 3.8522104235819605, 13.488354027293031, 17.07386585733295
2022-04-15 08:32:42, 3.82264626820164, 13.47693151271427, 17.05940697811933
2022-04-15 08:32:46, 3.280855791649824, 13.267603374046523, 16.7944346506918
2022-04-15 08:32:52, 3.2721687121814504, 13.264247002433741, 16.790186079030054
2022-04-15 08:32:56, 3.627744355809864, 13.401628501108357, 16.964086710263743
